1	3249	1	4
3313	3510	16	4
3599	5143	17	4
5246	5404	18	4
5469	5470	19	4
5613	5671	20	4
5763	5792	23	4
5856	7188	24	4
7448	7989	35	4
8052	8368	36	4
9539	9577	44	4
9765	9795	45	4
9965	10354	46	4
34694	34733	75	4
35047	35218	78	4
35924	36653	81	4
36851	37070	90	4
38156	38240	99	4
39453	39745	101	4
40213	40358	103	4
42605	42742	105	4
43012	43039	108	4
45756	46641	112	4
46660	47041	117	4
47973	48109	131	8
51620	51643	187	4
55021	56052	222	1
55021	58635	227	1
57522	58868	244	1
